time;mean_gray;count_pixels_lighter;week_of_year;slope;movement;worms;feeding_day;highlight;cutout;food
2024-06-29;24.884902176187584;826212;26;-0.29741964475270777;1;0;0;0;0;Melon
2024-06-30;30.382977134210094;4093642;26;5.49807495802251;1;0;1;0;0;Melon
2024-07-01;43.05229467021094;3651325;27;12.669317536000847;1;0;0;0;0;Melon
2024-07-02;41.18241307470534;7418499;27;-1.8698815955056034;1;1;0;0;0;Melon
2024-07-03;39.92439640386189;11842906;27;-1.2580166708434461;1;1;1;0;1;Oats
2024-07-04;36.98487022099671;1447023;27;-2.9395261828651797;0;0;0;0;1;Oats
2024-07-05;33.01709036650481;1320497;27;-3.9677798544919014;0;0;0;0;1;Oats
2024-07-06;30.769003399213155;1614259;27;-2.2480869672916555;0;0;0;0;1;Oats
2024-07-07;29.524395397857386;1533537;27;-1.2446080013557683;0;0;0;0;1;Oats
2024-07-08;27.473572135854653;3510092;28;-2.0508232620027336;1;0;0;0;1;Oats
2024-07-09;23.973554538797448;3977638;28;-3.500017597057205;1;0;0;1;1;Oats
2024-07-10;20.540703101511355;5128757;28;-3.432851437286093;1;1;0;1;1;Oats
2024-07-11;19.394532746738857;6492207;28;-1.1461703547724973;1;1;0;1;1;Oats
2024-07-12;21.80532783932156;10400329;28;2.4107950925827026;1;1;1;1;1;Beans
2024-07-13;35.59678738470431;11603093;28;13.791459545382747;1;1;0;1;0;Beans
2024-07-14;33.88070942995423;41039562;28;-1.7160779547500766;1;1;0;1;1;Beans
2024-07-15;29.035055047494396;86875118;29;-4.845654382459834;1;1;0;1;0;Beans
2024-07-16;28.69799024970443;69053887;29;-0.33706479778996723;1;1;0;1;0;Beans
2024-07-17;29.53654260635376;68260716;29;0.8385523566493305;1;1;0;1;1;Beans
2024-07-18;28.738706820982472;63416368;29;-0.7978357853712872;1;1;1;1;0;Melon
2024-07-19;32.83447060972721;58499106;29;4.0957637887447405;1;1;0;1;0;Melon
2024-07-20;27.167611956596375;64534661;29;-5.666858653130838;1;1;1;1;0;Salad
2024-07-21;32.44170076317258;66290950;29;5.274088806576202;1;1;0;1;0;Salad
2024-07-22;28.756771848819877;70503708;30;-3.6849289143526995;1;1;0;1;0;Salad
2024-07-23;23.498522051175435;69510519;30;-5.258249797644442;1;1;0;1;0;Salad
2024-07-24;18.79026919029377;58286622;30;-4.7082528608816645;1;1;0;1;0;Salad
2024-07-25;15.42827184730106;46660537;30;-3.3619973429927104;1;1;0;1;0;Salad
2024-07-26;13.259104311907734;37473515;30;-2.169167535393326;1;1;0;1;0;Salad
2024-07-27;12.770514754012778;35074763;30;-0.4885895578949562;1;1;0;1;0;Salad
2024-07-28;12.566469752347027;34120327;30;-0.2040450016657509;1;1;0;1;0;Salad
2024-07-29;16.20799728764428;35889336;31;3.641527535297252;1;0;1;0;0;Melon
2024-07-30;55.27448748747508;42483889;31;39.066490199830795;1;0;0;1;0;Melon
2024-07-31;41.894978144433765;56839763;31;-13.379509343041313;1;1;0;1;0;Melon
2024-08-01;26.907183683360063;52974852;31;-14.987794461073701;1;1;0;1;0;Melon
2024-08-02;17.94964367813534;40906002;31;-8.957540005224722;1;1;0;1;0;Melon
2024-08-03;37.562308762569735;74220851;31;19.612665084434393;0;0;1;0;0;Salad
2024-08-04;60.3637130950561;110030404;31;22.801404332486364;0;0;0;0;0;Salad
2024-08-05;59.26843257234928;113275838;32;-1.0952805227068154;1;0;0;0;0;Salad
2024-08-06;56.81173287193251;116701384;32;-2.4566997004167703;1;0;0;0;0;Salad
2024-08-07;55.870894505015585;117221490;32;-0.9408383669169282;1;0;0;0;0;Salad
2024-08-08;54.045813888891885;115421465;32;-1.8250806161236994;1;0;0;0;0;Salad
2024-08-09;50.8296244456685;118178566;32;-3.216189443223385;0;0;0;0;1;Salad
2024-08-10;58.18199461877874;89173175;32;7.352370173110238;1;0;1;0;1;Melon
2024-08-11;64.7111402013471;52581813;32;6.529145582568368;1;1;0;1;1;Melon
2024-08-12;40.701597534504415;98439060;33;-24.00954266684269;1;1;1;1;0;Salad
2024-08-13;32.229317135575585;67697087;33;-8.472280398928831;1;1;0;1;0;Salad
2024-08-14;27.75241524466762;65035921;33;-4.476901890907964;1;0;0;0;0;Salad
2024-08-15;24.852649569511414;66936842;33;-2.899765675156207;1;0;0;0;0;Salad
2024-08-16;22.16758195559184;67421853;33;-2.685067613919575;1;0;0;0;0;Salad
2024-08-17;20.65255816104703;67366489;33;-1.5150237945448097;1;0;0;0;0;Salad
2024-08-18;20.306488038515973;43341931;33;-0.3460701225310565;1;0;0;0;0;Salad
2024-08-19;20.353773165102357;43530009;34;0.04728512658638451;1;0;0;0;0;Salad
2024-08-20;20.09406221177843;69010625;34;-0.25971095332392835;1;0;0;0;0;Salad
2024-08-21;24.21937722453365;66531705;34;4.12531501275522;1;0;1;0;0;Melon
2024-08-22;46.65546915972675;46447796;34;22.4360919351931;1;0;0;0;0;Melon
2024-08-23;45.461764355059024;50271239;34;-1.1937048046677248;1;0;0;0;0;Melon
2024-08-24;40.19777303536733;77534357;34;-5.263991319691698;1;0;1;0;1;Oats
2024-08-25;36.181652281019424;111960451;34;-4.016120754347902;1;0;0;0;0;Oats
2024-08-26;34.66340394638203;126331335;35;-1.5182483346373914;1;0;0;0;0;Oats
2024-08-27;32.678899047109816;121792840;35;-1.984504899272217;1;0;0;0;0;Oats
2024-08-28;30.718020705823545;119673569;35;-1.9608783412862714;1;0;0;0;0;Oats
2024-08-29;34.06175297879158;50423883;35;3.3437322729680368;1;0;1;0;0;Banana
2024-08-30;35.38362265251301;62246215;35;1.3218696737214302;1;1;0;1;0;Banana
2024-08-31;30.87727658395414;72772158;35;-4.506346068558873;1;1;0;1;0;Banana
2024-09-01;26.189656464258828;68137866;35;-4.6876201196953104;1;1;0;1;0;Banana
2024-09-02;21.955984199488604;58109770;36;-4.233672264770224;1;1;0;1;0;Banana
2024-09-03;20.268495435184903;52207477;36;-1.6874887643037013;1;1;0;1;0;Banana
2024-09-04;18.737063694883275;54064671;36;-1.5314317403016275;1;1;0;0;0;Banana
2024-09-05;16.70769975362001;45181624;36;-2.0293639412632665;1;1;0;0;0;Banana
2024-09-06;15.132532027787946;38819413;36;-1.5751677258320633;1;1;0;0;0;None
2024-09-07;13.822983343512924;35526926;36;-1.309548684275022;1;1;0;0;0;None
2024-09-08;13.237716821387961;34567111;36;-0.5852665221249627;1;1;0;0;0;None
2024-09-09;12.776951752768623;32448564;37;-0.4607650686193381;1;1;0;0;0;None
2024-09-10;12.506234200795491;27740900;37;-0.2707175519731315;1;1;0;0;0;None
2024-09-11;12.592785535918342;30054487;37;0.0865513351228504;0;0;0;0;0;None
2024-09-12;12.197442862722609;29511265;37;-0.39534267319573324;0;0;0;0;0;None
2024-09-13;11.990765583956684;26406352;37;-0.206677278765925;0;0;0;0;0;None
2024-09-14;11.730275715721978;26900092;37;-0.2604898682347052;0;0;0;0;0;None
2024-09-15;11.611161805965283;23876909;37;-0.11911390975669534;0;0;0;0;0;None
2024-09-16;11.53965319086004;23718024;38;-0.07150861510524287;0;0;0;0;0;None
2024-09-17;11.470426960344668;25826710;38;-0.06922623051537258;0;0;0;0;0;None
2024-09-18;11.423345889868559;24443376;38;-0.04708107047610888;0;0;0;0;0;None
2024-09-19;11.432444959216648;25341577;38;0.009099069348089017;0;0;0;0;0;None
