time,percentage,adc,dry_value,wet_value
2024-08-03T18:16:14.592709,69.36,9466,16700,6270
2024-08-03T19:00:52.116694,71.02,9293,16700,6270
2024-08-03T20:00:13.621421,72.38,9151,16700,6270
2024-08-03T21:00:39.533085,74.6,8919,16700,6270
2024-08-03T22:00:38.293196,76.23,8749,16700,6270
2024-08-03T23:00:52.092809,74.29,8952,16700,6270
2024-08-04T00:00:38.548682,74.51,8929,16700,6270
2024-08-04T02:00:52.153890,79.28,8431,16700,6270
2024-08-04T03:00:52.095132,79.11,8449,16700,6270
2024-08-04T04:00:52.116638,80.22,8333,16700,6270
2024-08-04T05:00:35.028638,79.41,8418,16700,6270
2024-08-04T06:00:40.884937,90.9,7219,16700,6270
2024-08-04T07:00:52.125574,84.38,7899,16700,6270
2024-08-04T08:00:52.124620,83.63,7977,16700,6270
2024-08-04T09:00:26.133277,83.84,7955,16700,6270
2024-08-04T10:00:16.340934,87.6,7563,16700,6270
2024-08-04T11:00:39.476830,81.31,8219,16700,6270
2024-08-04T12:00:42.548924,79.33,8426,16700,6270
2024-08-04T13:00:52.092750,89.25,7391,16700,6270
2024-08-04T14:00:52.182317,90.96,7213,16700,6270
2024-08-04T15:00:52.128228,85.03,7831,16700,6270
2024-08-04T16:00:40.920909,84.01,7938,16700,6270
2024-08-04T17:00:41.644941,81.98,8150,16700,6270
2024-08-04T18:00:52.084651,82.19,8128,16700,6270
2024-08-04T19:00:50.453024,81.31,8219,16700,6270
2024-08-04T20:00:36.244885,81.91,8157,16700,6270
2024-08-04T21:00:46.900933,81.96,8152,16700,6270
2024-08-04T22:00:52.116660,82.44,8102,16700,6270
2024-08-04T23:00:51.220897,83.31,8011,16700,6270
2024-08-05T00:00:49.300814,83.75,7965,16700,6270
2024-08-05T01:00:52.084616,84.31,7906,16700,6270
2024-08-05T02:00:52.140813,84.41,7896,16700,6270
2024-08-05T03:00:24.633425,84.48,7889,16700,6270
2024-08-05T04:00:52.117319,89.05,7412,16700,6270
2024-08-05T05:00:14.676812,90.85,7224,16700,6270
2024-08-05T06:00:34.188692,92.47,7055,16700,6270
2024-08-05T07:00:52.116648,88.81,7437,16700,6270
2024-08-05T08:00:35.188473,93.91,6905,16700,6270
2024-08-05T09:00:08.501054,84.0,7939,16700,6270
2024-08-05T10:00:33.108976,82.86,8058,16700,6270
2024-08-05T11:00:27.049574,86.48,7680,16700,6270
2024-08-05T12:00:37.429022,86.78,7649,16700,6270
2024-08-05T13:00:52.084659,85.97,7733,16700,6270
2024-08-05T14:00:52.084674,85.14,7820,16700,6270
2024-08-05T15:00:52.088615,82.81,8063,16700,6270
2024-08-05T16:00:23.956956,83.27,8015,16700,6270
2024-08-05T17:00:44.596706,83.62,7978,16700,6270
2024-08-05T18:00:52.116630,84.16,7922,16700,6270
2024-08-05T19:00:19.156948,84.13,7925,16700,6270
2024-08-05T20:00:44.541571,85.34,7799,16700,6270
2024-08-05T21:00:52.116646,87.63,7560,16700,6270
2024-08-05T22:00:44.244895,86.01,7729,16700,6270
2024-08-05T23:00:52.084623,85.88,7743,16700,6270
2024-08-06T00:00:07.760576,86.34,7695,16700,6270
2024-08-06T01:00:52.084697,86.8,7647,16700,6270
2024-08-06T02:00:52.116623,87.54,7570,16700,6270
2024-08-06T03:00:52.084610,87.76,7547,16700,6270
2024-08-06T04:00:23.004913,88.23,7498,16700,6270
2024-08-06T05:00:52.116698,89.6,7355,16700,6270
2024-08-06T06:00:03.884997,92.7,7031,16700,6270
2024-08-06T07:00:52.116686,92.87,7014,16700,6270
2024-08-06T08:00:32.268733,94.32,6862,16700,6270
2024-08-06T09:00:52.116646,93.99,6897,16700,6270
2024-08-06T10:00:52.116632,89.65,7349,16700,6270
2024-08-06T11:00:52.116629,88.21,7500,16700,6270
2024-08-06T12:00:18.292775,86.2,7709,16700,6270
2024-08-06T13:00:20.108533,86.05,7725,16700,6270
2024-08-06T14:00:37.721050,84.27,7911,16700,6270
2024-08-06T15:00:52.116623,85.19,7815,16700,6270
2024-08-06T16:00:13.204656,83.35,8007,16700,6270
2024-08-06T17:00:52.084633,87.89,7533,16700,6270
2024-08-06T18:00:52.084628,86.74,7653,16700,6270
2024-08-06T19:00:52.084650,86.7,7657,16700,6270
2024-08-06T20:00:44.524478,88.11,7510,16700,6270
2024-08-06T21:00:34.100714,88.46,7474,16700,6270
2024-08-06T22:00:44.852642,89.1,7407,16700,6270
2024-08-06T23:00:49.045146,89.69,7345,16700,6270
2024-08-07T00:00:52.116661,89.61,7354,16700,6270
2024-08-07T01:00:09.493146,90.43,7268,16700,6270
2024-08-07T02:00:34.700854,90.09,7304,16700,6270
2024-08-07T03:00:52.084647,90.27,7285,16700,6270
2024-08-07T04:00:49.748955,90.47,7264,16700,6270
2024-08-07T05:00:14.540542,91.79,7126,16700,6270
2024-08-07T06:00:52.084635,90.98,7211,16700,6270
2024-08-07T07:00:15.956741,91.98,7107,16700,6270
2024-08-07T08:00:52.116696,91.42,7165,16700,6270
2024-08-07T09:00:48.564955,90.96,7213,16700,6270
2024-08-07T10:00:43.904829,90.26,7286,16700,6270
2024-08-07T11:00:52.084637,89.71,7343,16700,6270
2024-08-07T12:00:20.212481,88.41,7479,16700,6270
2024-08-07T13:00:52.116650,89.14,7403,16700,6270
2024-08-07T14:00:52.084634,89.04,7413,16700,6270
2024-08-07T15:00:19.469142,88.85,7433,16700,6270
2024-08-07T16:00:33.277734,90.52,7259,16700,6270
2024-08-07T17:00:41.940935,90.73,7237,16700,6270
2024-08-07T18:00:52.084627,91.39,7168,16700,6270
2024-08-07T19:00:52.084621,91.12,7196,16700,6270
2024-08-07T20:00:33.209793,91.8,7125,16700,6270
2024-08-07T21:00:52.116581,92.48,7054,16700,6270
2024-08-07T22:00:52.116653,92.67,7035,16700,6270
2024-08-07T23:00:52.084676,94.79,6813,16700,6270
2024-08-08T00:00:52.084688,95.77,6711,16700,6270
2024-08-08T01:00:52.084700,95.6,6729,16700,6270
2024-08-08T02:00:12.436646,95.8,6708,16700,6270
2024-08-08T03:00:48.109056,96.24,6662,16700,6270
2024-08-08T04:00:52.084627,95.7,6718,16700,6270
2024-08-08T05:00:52.084642,96.69,6615,16700,6270
2024-08-08T06:00:16.125191,97.01,6582,16700,6270
2024-08-08T07:00:52.116639,96.18,6668,16700,6270
2024-08-08T08:00:27.028900,94.35,6859,16700,6270
2024-08-08T09:00:03.774679,95.49,6740,16700,6270
2024-08-08T10:00:52.084658,95.56,6733,16700,6270
2024-08-08T11:00:52.116668,94.45,6849,16700,6270
2024-08-08T12:00:33.813230,92.8,7021,16700,6270
2024-08-08T13:00:52.084587,91.65,7141,16700,6270
2024-08-08T14:00:52.116600,91.23,7185,16700,6270
2024-08-08T15:00:52.116622,90.48,7263,16700,6270
2024-08-08T16:00:52.133140,90.71,7239,16700,6270
2024-08-08T17:00:48.532970,91.72,7134,16700,6270
2024-08-08T18:00:28.525103,91.46,7161,16700,6270
2024-08-08T19:00:03.628900,92.62,7040,16700,6270
2024-08-08T20:00:52.116675,91.11,7197,16700,6270
2024-08-08T21:00:52.116934,92.55,7047,16700,6270
2024-08-08T23:00:44.300966,94.37,6857,16700,6270
2024-08-09T00:00:31.180975,94.62,6831,16700,6270
2024-08-09T01:00:52.116633,95.51,6738,16700,6270
2024-08-09T03:00:52.084624,94.6,6833,16700,6270
2024-08-09T04:00:52.084685,94.06,6890,16700,6270
2024-08-09T05:00:52.084596,94.01,6895,16700,6270
2024-08-09T09:00:52.088652,94.9,6802,16700,6270
2024-08-09T10:00:52.116661,95.47,6742,16700,6270
2024-08-09T12:00:52.084675,94.39,6855,16700,6270
2024-08-09T13:00:52.116627,95.56,6733,16700,6270
2024-08-09T14:00:52.084627,95.37,6753,16700,6270
2024-08-09T15:00:52.116634,95.63,6726,16700,6270
2024-08-09T16:00:19.028997,94.81,6811,16700,6270
2024-08-09T17:00:52.116648,92.93,7007,16700,6270
2024-08-09T18:00:17.652977,93.83,6914,16700,6270
2024-08-09T19:00:52.084614,93.51,6947,16700,6270
2024-08-09T20:00:52.084648,93.84,6912,16700,6270
2024-08-09T21:00:52.116604,94.31,6863,16700,6270
2024-08-09T22:00:52.116684,94.93,6799,16700,6270
2024-08-09T23:00:24.596855,95.97,6690,16700,6270
2024-08-10T00:00:52.116638,95.84,6704,16700,6270
2024-08-10T01:00:52.084631,95.52,6737,16700,6270
2024-08-10T02:00:52.084580,96.13,6674,16700,6270
2024-08-10T03:00:52.084622,96.77,6607,16700,6270
2024-08-10T04:00:52.116594,97.71,6509,16700,6270
2024-08-10T05:00:52.084630,97.71,6509,16700,6270
2024-08-10T06:00:52.084639,97.47,6534,16700,6270
2024-08-10T07:00:05.100941,97.53,6528,16700,6270
2024-08-10T08:00:30.836988,97.13,6569,16700,6270
2024-08-10T09:00:52.084624,96.43,6642,16700,6270
2024-08-10T10:00:21.720890,95.48,6741,16700,6270
2024-08-10T11:00:07.413603,93.78,6919,16700,6270
2024-08-10T12:00:52.084570,92.6,7042,16700,6270
2024-08-10T13:00:52.084668,90.84,7225,16700,6270
2024-08-10T14:00:42.300726,92.31,7072,16700,6270
2024-08-10T15:00:43.556800,90.77,7233,16700,6270
2024-08-10T16:00:26.708904,90.11,7302,16700,6270
2024-08-10T17:00:08.404674,88.27,7493,16700,6270
2024-08-10T18:00:08.436643,89.11,7406,16700,6270
2024-08-10T19:00:08.372591,90.26,7286,16700,6270
2024-08-10T20:00:09.141378,90.7,7240,16700,6270
2024-08-10T21:00:09.492692,91.44,7163,16700,6270
2024-08-10T22:00:10.708632,91.28,7180,16700,6270
2024-08-10T23:00:10.900616,91.63,7143,16700,6270
2024-08-11T00:00:18.132632,92.2,7084,16700,6270
2024-08-11T01:00:11.349316,92.09,7095,16700,6270
2024-08-11T02:00:12.896476,92.01,7103,16700,6270
2024-08-11T03:00:12.700592,93.51,6947,16700,6270
2024-08-11T04:00:12.732706,92.22,7081,16700,6270
2024-08-11T05:00:13.120503,92.46,7056,16700,6270
2024-08-11T06:00:13.404791,92.67,7035,16700,6270
2024-08-11T07:00:12.244583,92.64,7038,16700,6270
2024-08-11T08:00:12.670981,92.64,7038,16700,6270
2024-08-11T09:00:13.020539,92.3,7073,16700,6270
2024-08-11T10:00:13.692794,91.29,7178,16700,6270
2024-08-11T11:00:14.336905,89.87,7327,16700,6270
